velocity_ms,lateral_accel_ms2,max_accel_ms2,max_brake_ms2
8.5,26,0,-0.0433104
8.5,27,0,-0.0433104
8.5,28,0,-0.0433104
8.5,29,0,-0.0433104
8.5,30,0,-0.0433104
8.5,31,0,-0.0433104
8.5,32,0,-0.0433104
8.5,33,0,-0.0433104
8.5,34,0,-0.0433104
8.5,35,0,-0.0433104
8.5,36,0,-0.0433104
8.5,37,0,-0.0433104
8.5,38,0,-0.0433104
8.5,39,0,-0.0433104
8.5,40,0,-0.0433104
8.5,41,0,-0.0433104
8.5,42,0,-0.0433104
8.5,43,0,-0.0433104
8.5,44,0,-0.0433104
8.5,45,0,-0.0433104
8.5,46,0,-0.0433104
8.5,47,0,-0.0433104
8.5,48,0,-0.0433104
8.5,49,0,-0.0433104
8.5,50,0,-0.0433104
9,0,0,-17.4077
9,1,0,-17.3788
9,2,0,-17.2921
9,3,0,-17.1465
9,4,0,-16.9405
9,5,0,-16.672
9,6,0,-16.3378
9,7,0,-15.9337
9,8,0,-15.4543
9,9,0,-14.8923
9,10,0,-14.2379
9,11,0,-13.4776
9,12,0,-12.592
9,13,0,-11.5524
9,14,0,-10.312
9,15,0,-8.78573
9,16,0,-6.78192
9,17,0,-3.56113
9,18,0,-0.0485556
9,19,0,-0.0485556
9,20,0,-0.0485556
9,21,0,-0.0485556
9,22,0,-0.0485556
9,23,0,-0.0485556
9,24,0,-0.0485556
9,25,0,-0.0485556
9,26,0,-0.0485556
9,27,0,-0.0485556
9,28,0,-0.0485556
9,29,0,-0.0485556
9,30,0,-0.0485556
9,31,0,-0.0485556
9,32,0,-0.0485556
9,33,0,-0.0485556
9,34,0,-0.0485556
9,35,0,-0.0485556
9,36,0,-0.0485556
9,37,0,-0.0485556
9,38,0,-0.0485556
9,39,0,-0.0485556
9,40,0,-0.0485556
9,41,0,-0.0485556
9,42,0,-0.0485556
9,43,0,-0.0485556
9,44,0,-0.0485556
9,45,0,-0.0485556
9,46,0,-0.0485556
9,47,0,-0.0485556
9,48,0,-0.0485556
9,49,0,-0.0485556
9,50,0,-0.0485556
9.5,0,0,-17.4343
9.5,1,0,-17.4055
9.5,2,0,-17.3189
9.5,3,0,-17.1734
9.5,4,0,-16.9678
9.5,5,0,-16.6996
9.5,6,0,-16.3658
9.5,7,0,-15.9623
9.5,8,0,-15.4837
9.5,9,0,-14.9226
9.5,10,0,-14.2693
9.5,11,0,-13.5104
9.5,12,0,-12.6268
9.5,13,0,-11.5898
9.5,14,0,-10.3532
9.5,15,0,-8.83316
9.5,16,0,-6.84173
9.5,17,0,-3.66961
9.5,18,0,-0.0541005
9.5,19,0,-0.0541005
9.5,20,0,-0.0541005
9.5,21,0,-0.0541005
9.5,22,0,-0.0541005
9.5,23,0,-0.0541005
9.5,24,0,-0.0541005
9.5,25,0,-0.0541005
9.5,26,0,-0.0541005
9.5,27,0,-0.0541005
9.5,28,0,-0.0541005
9.5,29,0,-0.0541005
9.5,30,0,-0.0541005
9.5,31,0,-0.0541005
9.5,32,0,-0.0541005
9.5,33,0,-0.0541005
9.5,34,0,-0.0541005
9.5,35,0,-0.0541005
9.5,36,0,-0.0541005
9.5,37,0,-0.0541005
9.5,38,0,-0.0541005
9.5,39,0,-0.0541005
9.5,40,0,-0.0541005
